Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000142	0	0	0	0	0	0	57	57
OG0000143	4	11	6	8	6	10	11	56
OG0000144	0	54	0	1	1	0	0	56
OG0000145	9	5	8	8	8	7	10	55
OG0000146	4	17	2	3	11	5	13	55
OG0000147	9	7	8	8	8	7	8	55
OG0000148	4	23	3	5	7	9	4	55
OG0000149	3	26	3	8	6	5	4	55
OG0000150	3	8	8	7	9	10	10	55
OG0000151	0	55	0	0	0	0	0	55
OG0000152	0	22	5	11	7	9	1	55
OG0000153	0	0	0	0	0	0	55	55
OG0000154	6	15	7	5	3	6	12	54
OG0000155	1	21	6	7	6	7	6	54
OG0000156	3	17	10	6	6	7	5	54
OG0000157	4	2	8	7	18	8	7	54
OG0000158	0	15	2	6	10	12	9	54
OG0000159	8	16	6	10	1	11	1	53
OG0000160	7	24	8	3	2	3	6	53
OG0000161	4	15	8	5	8	7	6	53
OG0000162	9	14	6	6	6	6	6	53
OG0000163	0	45	0	0	1	1	6	53
OG0000164	4	23	3	7	6	5	4	52
OG0000165	1	21	4	7	6	6	7	52
OG0000166	6	27	4	2	4	4	5	52
OG0000167	2	17	10	6	1	9	7	52
OG0000168	7	15	6	5	5	6	8	52
OG0000169	2	7	9	6	12	8	7	51
OG0000170	0	41	0	3	1	1	5	51
OG0000171	0	0	0	0	0	0	51	51
OG0000172	0	0	0	0	0	0	51	51
OG0000173	24	0	0	10	9	7	0	50
OG0000174	6	18	5	6	3	7	5	50
OG0000175	7	20	8	4	4	4	3	50
OG0000176	8	14	7	6	5	5	5	50
OG0000177	2	23	3	5	7	4	6	50
OG0000178	0	14	3	10	7	7	9	50
OG0000179	0	10	0	2	8	17	13	50
OG0000180	5	14	6	3	6	7	8	49
OG0000181	4	26	8	1	2	4	4	49
OG0000182	5	20	4	5	6	6	3	49
OG0000183	8	20	5	3	1	8	4	49
OG0000184	16	15	5	3	3	5	2	49
OG0000185	8	12	5	6	6	7	5	49
OG0000186	6	22	3	4	7	3	4	49
OG0000187	2	17	10	5	3	6	6	49
OG0000188	0	29	3	7	8	0	2	49
OG0000189	0	0	0	21	13	11	4	49
OG0000190	0	0	0	0	0	0	49	49
OG0000191	10	10	7	6	4	6	5	48
OG0000192	20	16	1	1	1	0	9	48
OG0000193	1	14	9	4	7	7	6	48
OG0000194	6	15	7	6	6	2	6	48
OG0000195	2	7	7	8	8	9	7	48
OG0000196	3	16	3	4	9	7	6	48
OG0000197	0	12	6	8	4	10	8	48
OG0000198	0	4	0	0	0	0	44	48
OG0000199	0	0	0	1	5	10	32	48
OG0000200	0	0	0	1	0	0	47	48
OG0000201	24	5	11	1	1	5	0	47
OG0000202	3	17	7	4	4	6	6	47
OG0000203	5	12	8	6	4	5	7	47
OG0000204	5	22	4	5	3	4	4	47
OG0000205	1	27	2	4	6	1	6	47
OG0000206	0	29	5	2	0	0	11	47
OG0000207	0	23	0	2	1	3	18	47
OG0000208	0	25	4	1	4	5	8	47
OG0000209	0	0	0	0	0	0	47	47
OG0000210	5	19	6	2	1	5	8	46
OG0000211	3	12	7	8	7	5	4	46
OG0000212	5	3	0	5	9	19	5	46
OG0000213	2	16	4	6	6	7	5	46
OG0000214	0	19	7	5	10	5	0	46
OG0000215	0	1	0	0	0	0	45	46
OG0000216	0	0	0	0	0	0	46	46
OG0000217	8	8	4	5	6	7	7	45
OG0000218	7	11	7	5	4	5	6	45
OG0000219	11	14	3	3	7	4	3	45
OG0000220	2	13	5	4	4	6	11	45
OG0000221	6	14	5	5	5	5	5	45
OG0000222	1	13	4	7	8	5	7	45
OG0000223	0	14	8	3	5	6	9	45
OG0000224	0	30	2	1	1	1	10	45
OG0000225	0	16	5	4	8	6	6	45
OG0000226	12	14	1	3	5	5	4	44
OG0000227	6	10	6	6	6	5	5	44
OG0000228	2	14	4	7	3	8	6	44
OG0000229	5	23	3	4	5	2	2	44
OG0000230	1	20	5	11	5	1	1	44
OG0000231	4	6	7	0	2	8	17	44
OG0000232	1	16	6	2	8	6	5	44
OG0000233	1	18	3	5	6	6	5	44
OG0000234	0	40	0	0	1	0	3	44
OG0000235	0	24	4	6	3	3	4	44
OG0000236	7	3	6	7	3	10	7	43
OG0000237	26	5	3	2	3	3	1	43
OG0000238	10	0	19	1	0	0	13	43
OG0000239	5	16	3	4	3	6	6	43
OG0000240	36	0	0	1	5	1	0	43
OG0000241	8	3	8	7	8	7	2	43
OG0000242	7	13	2	2	10	4	5	43
OG0000243	11	13	6	2	7	2	2	43
OG0000244	10	31	0	2	0	0	0	43
OG0000245	3	21	4	6	3	3	3	43
OG0000246	2	13	6	6	5	5	6	43
OG0000247	7	9	6	6	4	5	6	43
OG0000248	3	13	0	6	6	7	8	43
OG0000249	6	12	4	5	6	5	5	43
OG0000250	6	12	3	6	5	5	6	43
OG0000251	1	17	6	6	6	1	6	43
OG0000252	1	7	6	8	3	14	4	43
OG0000253	2	26	7	1	0	0	7	43
OG0000254	42	0	0	0	0	0	0	42
OG0000255	3	17	0	7	4	6	5	42
OG0000256	5	1	2	17	17	0	0	42
OG0000257	7	23	0	3	4	2	3	42
OG0000258	17	4	5	3	9	2	2	42
OG0000259	4	12	5	5	5	7	4	42
OG0000260	1	15	4	2	4	9	7	42
OG0000261	3	14	4	3	5	8	5	42
OG0000262	1	22	2	3	7	4	3	42
OG0000263	0	1	2	0	2	0	37	42
OG0000264	2	13	8	4	4	6	4	41
OG0000265	3	12	5	6	5	5	5	41
OG0000266	0	41	0	0	0	0	0	41
OG0000267	0	6	5	6	9	9	6	41
OG0000268	0	0	0	0	0	0	41	41
OG0000269	13	6	4	4	6	4	3	40
OG0000270	4	26	3	2	1	3	1	40
OG0000271	12	10	3	3	4	8	0	40
OG0000272	13	7	5	2	5	2	6	40
OG0000273	5	13	5	4	5	4	4	40
OG0000274	5	13	2	4	5	7	4	40
OG0000275	3	13	7	1	9	6	1	40
OG0000276	2	25	1	2	4	2	4	40
OG0000277	2	15	6	4	5	5	3	40
OG0000278	7	13	4	5	4	3	4	40
OG0000279	4	0	0	9	20	7	0	40
OG0000280	4	20	4	1	1	5	5	40
OG0000281	3	9	5	4	5	6	8	40
OG0000282	6	7	5	4	6	5	7	40
OG0000283	2	4	7	6	6	9	6	40
OG0000284	1	17	4	4	5	4	5	40
