Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0007632	2	3	1	1	1	1	1	10
OG0007633	2	3	1	1	1	1	1	10
OG0007634	3	2	1	1	1	1	1	10
OG0007635	2	3	1	1	1	1	1	10
OG0007636	2	3	1	1	1	1	1	10
OG0007637	2	3	1	1	1	1	1	10
OG0007638	1	5	1	1	0	1	1	10
OG0007639	2	3	1	1	1	1	1	10
OG0007640	2	3	1	1	1	1	1	10
OG0007641	10	0	0	0	0	0	0	10
OG0007642	1	4	1	1	1	1	1	10
OG0007643	2	3	1	1	1	1	1	10
OG0007644	2	3	1	1	1	1	1	10
OG0007645	2	3	1	1	1	1	1	10
OG0007646	2	3	1	1	1	1	1	10
OG0007647	3	2	1	1	1	1	1	10
OG0007648	3	2	1	1	1	1	1	10
OG0007649	1	4	1	1	1	1	1	10
OG0007650	2	3	1	1	1	1	1	10
OG0007651	2	2	1	1	2	1	1	10
OG0007652	1	4	1	1	1	1	1	10
OG0007653	2	3	1	1	1	1	1	10
OG0007654	2	4	1	1	1	1	0	10
OG0007655	1	3	1	1	1	1	2	10
OG0007656	2	3	1	1	1	1	1	10
OG0007657	3	2	1	1	1	1	1	10
OG0007658	2	3	1	1	1	1	1	10
OG0007659	2	3	1	1	1	1	1	10
OG0007660	2	3	1	1	1	1	1	10
OG0007661	2	3	1	1	1	1	1	10
OG0007662	2	3	1	1	1	1	1	10
OG0007663	2	3	1	1	1	1	1	10
OG0007664	2	2	1	1	1	1	2	10
OG0007665	3	3	1	0	1	1	1	10
OG0007666	1	4	1	1	1	1	1	10
OG0007667	2	3	1	1	1	1	1	10
OG0007668	2	3	1	1	1	1	1	10
OG0007669	2	3	1	1	1	1	1	10
OG0007670	4	3	1	0	1	0	1	10
OG0007671	1	4	1	1	1	1	1	10
OG0007672	2	3	1	1	1	1	1	10
OG0007673	2	3	1	1	1	1	1	10
OG0007674	2	3	1	1	1	1	1	10
OG0007675	2	4	1	1	1	1	0	10
OG0007676	2	3	1	1	1	1	1	10
OG0007677	2	3	1	1	1	1	1	10
OG0007678	2	3	1	1	1	1	1	10
OG0007679	10	0	0	0	0	0	0	10
OG0007680	2	3	1	1	1	1	1	10
OG0007681	2	3	1	1	1	1	1	10
OG0007682	3	3	1	0	1	1	1	10
OG0007683	2	4	1	1	1	1	0	10
OG0007684	2	3	1	1	1	1	1	10
OG0007685	2	2	2	1	1	1	1	10
OG0007686	2	4	1	1	1	1	0	10
OG0007687	2	3	1	1	1	1	1	10
OG0007688	1	4	1	1	2	1	0	10
OG0007689	2	3	1	1	1	1	1	10
OG0007690	2	3	1	1	1	1	1	10
OG0007691	1	3	1	2	1	0	2	10
OG0007692	2	3	1	1	1	1	1	10
OG0007693	2	3	1	1	1	1	1	10
OG0007694	1	4	1	1	1	1	1	10
OG0007695	2	2	1	1	1	2	1	10
OG0007696	2	3	1	1	1	1	1	10
OG0007697	3	2	1	1	1	1	1	10
OG0007698	2	3	1	1	1	1	1	10
OG0007699	2	3	1	1	1	1	1	10
OG0007700	1	5	1	1	1	1	0	10
OG0007701	10	0	0	0	0	0	0	10
OG0007702	2	4	1	1	1	1	0	10
OG0007703	1	4	1	1	1	1	1	10
OG0007704	1	3	1	1	1	2	1	10
OG0007705	1	4	1	1	1	1	1	10
OG0007706	3	2	1	1	1	1	1	10
OG0007707	2	3	1	1	1	1	1	10
OG0007708	2	3	1	1	1	1	1	10
OG0007709	2	3	1	1	1	1	1	10
OG0007710	2	3	1	1	1	1	1	10
OG0007711	1	4	1	1	1	1	1	10
OG0007712	2	4	1	1	1	1	0	10
OG0007713	2	3	1	1	1	1	1	10
OG0007714	2	3	1	1	1	1	1	10
OG0007715	1	4	1	1	1	1	1	10
OG0007716	3	2	1	1	1	1	1	10
OG0007717	2	3	1	1	1	1	1	10
OG0007718	1	4	1	1	1	1	1	10
OG0007719	2	3	1	1	1	1	1	10
OG0007720	2	3	1	1	1	1	1	10
OG0007721	2	3	1	1	1	1	1	10
OG0007722	1	4	1	1	1	1	1	10
OG0007723	2	3	1	1	1	1	1	10
OG0007724	2	4	1	1	1	1	0	10
OG0007725	2	3	1	1	1	1	1	10
OG0007726	1	4	1	1	1	1	1	10
OG0007727	2	3	1	1	1	1	1	10
OG0007728	1	3	1	1	1	2	1	10
OG0007729	2	3	1	1	1	1	1	10
OG0007730	2	3	1	1	1	1	1	10
OG0007731	10	0	0	0	0	0	0	10
OG0007732	2	3	1	1	1	1	1	10
OG0007733	2	3	1	1	1	1	1	10
OG0007734	2	3	1	1	1	1	1	10
OG0007735	1	4	1	1	1	1	1	10
OG0007736	2	3	1	1	1	1	1	10
OG0007737	2	3	1	1	1	1	1	10
OG0007738	2	3	1	1	1	1	1	10
OG0007739	2	3	1	1	1	1	1	10
OG0007740	1	4	1	1	1	1	1	10
OG0007741	2	3	1	1	1	1	1	10
OG0007742	1	3	2	1	1	1	1	10
OG0007743	2	3	1	1	1	1	1	10
OG0007744	2	3	1	1	1	1	1	10
OG0007745	2	3	1	1	1	1	1	10
OG0007746	2	3	1	1	1	1	1	10
OG0007747	2	3	1	1	1	1	1	10
OG0007748	2	3	1	1	1	1	1	10
OG0007749	2	3	1	1	1	1	1	10
OG0007750	2	3	1	1	1	1	1	10
OG0007751	2	3	1	1	1	1	1	10
OG0007752	2	3	1	1	1	1	1	10
OG0007753	3	2	1	1	1	1	1	10
OG0007754	2	3	1	1	1	1	1	10
OG0007755	3	2	1	1	1	1	1	10
OG0007756	2	3	1	1	1	1	1	10
OG0007757	1	4	1	1	1	1	1	10
OG0007758	1	5	1	1	1	0	1	10
OG0007759	2	3	1	1	1	1	1	10
OG0007760	2	3	1	1	1	1	1	10
OG0007761	1	4	1	1	1	1	1	10
OG0007762	2	3	1	1	1	1	1	10
OG0007763	2	3	1	1	1	1	1	10
OG0007764	2	4	1	1	1	0	1	10
OG0007765	2	1	3	1	1	1	1	10
OG0007766	2	3	1	1	1	1	1	10
OG0007767	2	3	1	1	1	1	1	10
OG0007768	2	3	1	1	1	1	1	10
OG0007769	2	3	1	1	1	1	1	10
OG0007770	2	3	1	1	1	1	1	10
OG0007771	2	3	1	1	1	1	1	10
OG0007772	3	3	1	1	1	0	1	10
OG0007773	10	0	0	0	0	0	0	10
OG0007774	3	2	1	1	1	1	1	10
OG0007775	2	3	1	1	1	1	1	10
OG0007776	1	4	1	1	1	1	1	10
OG0007777	2	3	1	1	1	1	1	10
OG0007778	2	4	1	1	0	1	1	10
OG0007779	3	3	1	1	1	0	1	10
OG0007780	2	3	1	1	1	1	1	10
OG0007781	2	3	1	1	1	1	1	10
OG0007782	1	3	1	1	1	2	1	10
OG0007783	2	3	1	1	1	1	1	10
OG0007784	2	4	1	1	1	1	0	10
OG0007785	2	3	1	1	1	1	1	10
OG0007786	2	1	1	1	1	1	3	10
OG0007787	1	4	1	1	1	1	1	10
OG0007788	2	3	1	1	1	1	1	10
OG0007789	2	3	1	1	1	1	1	10
OG0007790	2	3	1	1	1	1	1	10
OG0007791	2	2	1	1	1	1	2	10
OG0007792	1	4	1	1	1	1	1	10
OG0007793	2	3	1	1	1	1	1	10
OG0007794	2	3	1	1	1	1	1	10
OG0007795	2	3	1	1	1	1	1	10
OG0007796	2	3	1	1	1	1	1	10
OG0007797	2	3	1	1	1	1	1	10
OG0007798	2	3	1	1	1	1	1	10
OG0007799	2	3	1	1	1	1	1	10
OG0007800	2	3	1	1	1	1	1	10
OG0007801	2	2	1	1	1	2	1	10
OG0007802	2	4	1	1	1	1	0	10
OG0007803	3	2	1	1	1	1	1	10
OG0007804	1	4	1	1	1	1	1	10
OG0007805	1	4	1	1	1	1	1	10
OG0007806	2	4	1	1	1	1	0	10
OG0007807	2	3	1	1	1	0	2	10
OG0007808	2	3	1	1	1	1	1	10
OG0007809	2	3	1	1	1	1	1	10
OG0007810	3	2	1	1	1	1	1	10
OG0007811	2	4	1	1	1	0	1	10
OG0007812	2	3	1	1	1	1	1	10
OG0007813	1	4	1	1	1	1	1	10
OG0007814	3	2	1	1	1	1	1	10
OG0007815	2	2	2	1	1	1	1	10
OG0007816	1	4	1	1	1	1	1	10
OG0007817	2	3	1	1	1	1	1	10
OG0007818	2	3	1	1	1	1	1	10
OG0007819	2	4	1	1	1	1	0	10
OG0007820	1	4	1	1	1	1	1	10
OG0007821	2	3	1	1	1	1	1	10
OG0007822	10	0	0	0	0	0	0	10
OG0007823	2	3	1	1	1	1	1	10
OG0007824	1	4	1	1	1	1	1	10
OG0007825	2	3	1	1	1	1	1	10
OG0007826	2	3	1	1	1	1	1	10
OG0007827	2	3	1	1	1	1	1	10
OG0007828	2	2	1	1	1	1	2	10
OG0007829	2	3	1	1	1	1	1	10
OG0007830	2	2	1	1	1	1	2	10
OG0007831	2	3	1	1	1	1	1	10
OG0007832	2	3	1	1	1	1	1	10
OG0007833	1	4	1	1	1	1	1	10
OG0007834	2	3	1	1	1	1	1	10
OG0007835	2	3	1	1	1	1	1	10
OG0007836	2	3	1	1	1	1	1	10
OG0007837	2	4	1	1	1	0	1	10
OG0007838	1	4	1	1	1	1	1	10
OG0007839	3	2	1	1	1	1	1	10
OG0007840	2	3	1	1	1	1	1	10
OG0007841	2	3	1	1	1	1	1	10
OG0007842	3	2	1	1	1	1	1	10
OG0007843	2	3	1	1	1	1	1	10
OG0007844	1	4	1	1	1	1	1	10
OG0007845	2	3	1	1	1	1	1	10
OG0007846	10	0	0	0	0	0	0	10
OG0007847	3	2	1	1	1	1	1	10
OG0007848	3	3	0	1	1	1	1	10
OG0007849	3	3	1	1	1	1	0	10
OG0007850	2	3	1	1	1	1	1	10
OG0007851	2	2	1	1	1	2	1	10
OG0007852	2	3	1	1	1	1	1	10
OG0007853	2	3	1	1	1	1	1	10
OG0007854	1	3	2	1	1	1	1	10
OG0007855	2	3	1	1	1	1	1	10
OG0007856	3	3	1	1	1	0	1	10
OG0007857	2	3	1	1	1	1	1	10
OG0007858	2	3	1	1	1	1	1	10
OG0007859	1	3	1	1	1	1	2	10
OG0007860	2	2	1	1	2	1	1	10
OG0007861	2	2	2	1	1	1	1	10
OG0007862	2	3	1	1	1	1	1	10
OG0007863	1	4	1	1	1	1	1	10
OG0007864	2	3	1	1	1	1	1	10
OG0007865	2	4	1	0	1	1	1	10
OG0007866	2	3	1	1	1	1	1	10
OG0007867	2	3	1	1	1	1	1	10
OG0007868	2	3	1	1	1	1	1	10
OG0007869	1	4	1	1	1	1	1	10
OG0007870	1	3	1	1	1	2	1	10
OG0007871	2	3	1	1	1	1	1	10
OG0007872	2	3	1	1	1	1	1	10
OG0007873	2	3	1	1	1	1	1	10
OG0007874	1	2	1	1	1	2	2	10
OG0007875	2	3	1	1	1	1	1	10
OG0007876	3	2	1	1	1	1	1	10
OG0007877	2	3	1	1	1	1	1	10
OG0007878	2	3	1	1	1	1	1	10
OG0007879	1	4	1	1	1	1	1	10
OG0007880	2	4	1	1	1	1	0	10
OG0007881	1	3	2	1	1	1	1	10
OG0007882	2	3	1	1	1	1	1	10
OG0007883	2	3	1	1	1	1	1	10
OG0007884	1	3	1	1	1	1	2	10
OG0007885	1	4	1	1	1	1	1	10
OG0007886	2	3	1	1	1	1	1	10
OG0007887	2	3	1	1	1	1	1	10
OG0007888	2	3	1	1	1	1	1	10
OG0007889	3	2	1	1	1	1	1	10
OG0007890	1	4	1	1	1	1	1	10
OG0007891	3	3	1	1	1	1	0	10
OG0007892	2	4	2	1	0	1	0	10
OG0007893	1	4	1	1	1	1	1	10
OG0007894	2	3	1	1	1	1	1	10
OG0007895	2	3	1	1	1	1	1	10
OG0007896	2	3	1	1	1	1	1	10
OG0007897	1	4	1	1	1	1	1	10
OG0007898	2	3	1	1	1	1	1	10
OG0007899	2	2	2	1	1	1	1	10
OG0007900	1	4	1	1	1	1	1	10
OG0007901	2	3	1	1	1	1	1	10
OG0007902	2	3	1	1	1	1	1	10
OG0007903	2	3	1	1	1	1	1	10
OG0007904	2	3	1	1	1	1	1	10
OG0007905	2	3	1	1	1	1	1	10
OG0007906	2	3	1	1	1	1	1	10
OG0007907	3	2	1	1	1	1	1	10
OG0007908	1	5	1	1	0	1	1	10
OG0007909	1	3	1	1	1	1	2	10
OG0007910	3	2	1	1	1	1	1	10
OG0007911	1	4	1	1	1	1	1	10
OG0007912	2	3	1	1	1	1	1	10
OG0007913	2	3	1	1	1	1	1	10
OG0007914	2	3	1	1	1	1	1	10
OG0007915	2	3	1	1	1	1	1	10
OG0007916	3	3	1	1	1	1	0	10
OG0007917	2	3	1	1	1	1	1	10
OG0007918	2	3	1	1	1	1	1	10
OG0007919	2	3	1	1	1	1	1	10
OG0007920	2	3	1	1	1	1	1	10
OG0007921	2	4	1	0	1	1	1	10
OG0007922	1	2	1	2	2	1	1	10
OG0007923	1	3	2	1	1	1	1	10
OG0007924	3	2	1	1	1	1	1	10
OG0007925	2	3	1	1	1	1	1	10
OG0007926	2	3	1	1	1	1	1	10
OG0007927	2	3	2	1	0	0	2	10
OG0007928	2	3	1	1	1	1	1	10
OG0007929	2	3	1	1	1	1	1	10
OG0007930	2	2	1	2	1	1	1	10
OG0007931	1	4	1	1	1	1	1	10
OG0007932	2	3	1	1	1	1	1	10
OG0007933	2	2	1	1	1	2	1	10
OG0007934	3	2	1	1	1	1	1	10
OG0007935	2	3	1	1	1	1	1	10
OG0007936	2	3	1	1	1	1	1	10
OG0007937	1	3	1	1	1	2	1	10
OG0007938	2	3	1	1	1	1	1	10
OG0007939	2	3	1	1	1	1	1	10
OG0007940	2	3	1	1	1	1	1	10
OG0007941	2	3	1	1	1	1	1	10
OG0007942	2	4	1	1	1	0	1	10
OG0007943	2	3	1	1	1	1	1	10
OG0007944	2	3	1	1	1	1	1	10
OG0007945	2	4	1	1	1	1	0	10
OG0007946	1	4	1	1	1	1	1	10
OG0007947	2	3	1	1	1	1	1	10
OG0007948	2	3	1	1	1	1	1	10
OG0007949	1	4	1	1	1	1	1	10
OG0007950	2	2	1	0	1	1	3	10
OG0007951	1	4	1	1	1	1	1	10
OG0007952	2	3	1	1	1	1	1	10
OG0007953	1	4	1	1	1	1	1	10
OG0007954	2	3	1	1	1	2	0	10
OG0007955	2	3	1	1	1	1	1	10
OG0007956	2	3	1	1	1	1	1	10
OG0007957	2	4	1	1	1	1	0	10
OG0007958	2	2	1	1	1	1	2	10
OG0007959	2	3	1	1	1	1	1	10
OG0007960	2	4	1	1	1	1	0	10
OG0007961	2	3	1	1	1	1	1	10
OG0007962	2	3	1	1	1	1	1	10
OG0007963	2	3	1	1	1	1	1	10
OG0007964	2	3	1	1	1	1	1	10
OG0007965	2	3	1	1	1	1	1	10
OG0007966	2	3	1	1	1	1	1	10
OG0007967	1	3	1	1	1	1	2	10
OG0007968	2	2	2	1	1	1	1	10
OG0007969	2	3	1	1	1	1	1	10
OG0007970	2	3	1	1	1	1	1	10
OG0007971	1	4	1	1	1	1	1	10
OG0007972	3	2	1	1	1	1	1	10
OG0007973	1	4	1	1	1	1	1	10
OG0007974	2	3	1	1	1	1	1	10
OG0007975	1	3	2	1	1	1	1	10
OG0007976	1	4	1	1	1	1	1	10
OG0007977	2	3	1	1	1	1	1	10
OG0007978	3	2	1	1	1	1	1	10
OG0007979	2	3	1	1	1	1	1	10
OG0007980	2	2	1	1	1	2	1	10
OG0007981	2	3	1	1	1	1	1	10
OG0007982	2	3	1	1	1	1	1	10
OG0007983	3	2	1	1	1	1	1	10
OG0007984	2	3	1	1	1	1	1	10
OG0007985	2	3	1	1	1	1	1	10
OG0007986	2	3	1	1	1	1	1	10
OG0007987	1	4	1	1	1	1	1	10
OG0007988	2	3	1	1	1	1	1	10
OG0007989	2	3	1	1	1	1	1	10
OG0007990	2	3	1	1	1	1	1	10
OG0007991	2	3	1	1	1	1	1	10
OG0007992	2	3	1	1	1	1	1	10
OG0007993	1	4	1	1	1	1	1	10
OG0007994	2	3	1	1	1	1	1	10
OG0007995	2	3	1	1	1	1	1	10
OG0007996	2	3	1	1	1	1	1	10
OG0007997	2	3	1	1	1	1	1	10
OG0007998	2	3	1	1	1	1	1	10
OG0007999	2	2	1	1	1	1	2	10
OG0008000	2	3	1	1	1	1	1	10
OG0008001	2	2	1	1	1	1	2	10
OG0008002	2	3	1	1	1	1	1	10
OG0008003	2	3	1	1	1	1	1	10
OG0008004	2	4	1	1	0	1	1	10
OG0008005	2	3	1	1	1	1	1	10
OG0008006	3	3	1	1	1	0	1	10
OG0008007	2	3	1	1	1	1	1	10
OG0008008	1	4	1	1	1	1	1	10
OG0008009	1	4	1	1	1	1	1	10
OG0008010	1	3	1	1	1	1	2	10
OG0008011	2	3	1	1	1	1	1	10
OG0008012	1	3	1	1	1	1	2	10
OG0008013	2	3	1	1	1	1	1	10
OG0008014	2	3	1	1	1	1	1	10
OG0008015	2	3	1	1	1	1	1	10
OG0008016	1	4	1	1	1	1	1	10
OG0008017	1	4	1	1	1	1	1	10
OG0008018	2	3	1	1	1	1	1	10
OG0008019	2	3	1	1	1	1	1	10
OG0008020	2	3	1	1	1	1	1	10
OG0008021	2	3	1	1	1	1	1	10
OG0008022	1	4	1	1	1	1	1	10
OG0008023	2	2	2	1	1	1	1	10
OG0008024	2	2	1	1	2	1	1	10
OG0008025	2	3	1	1	1	1	1	10
OG0008026	3	4	1	1	0	0	1	10
OG0008027	2	3	1	1	1	1	1	10
OG0008028	1	4	1	1	1	1	1	10
OG0008029	2	3	1	1	1	1	1	10
OG0008030	1	4	1	1	1	1	1	10
OG0008031	2	3	1	1	1	1	1	10
OG0008032	2	3	1	1	1	1	1	10
OG0008033	2	3	1	1	1	1	1	10
OG0008034	2	3	1	1	1	1	1	10
OG0008035	2	3	1	1	1	1	1	10
OG0008036	2	3	1	1	1	1	1	10
OG0008037	2	3	2	1	1	0	1	10
OG0008038	6	0	0	2	0	2	0	10
OG0008039	1	4	1	1	1	1	1	10
OG0008040	2	2	1	1	1	2	1	10
OG0008041	2	3	1	1	1	1	1	10
OG0008042	2	3	1	1	1	1	1	10
OG0008043	1	4	1	1	1	1	1	10
OG0008044	2	3	1	1	1	1	1	10
OG0008045	2	4	1	1	1	1	0	10
OG0008046	2	3	1	1	1	1	1	10
OG0008047	2	3	1	1	1	1	1	10
OG0008048	1	4	1	1	1	1	1	10
OG0008049	1	4	1	1	1	1	1	10
OG0008050	2	1	1	1	1	2	2	10
OG0008051	1	4	1	2	1	0	1	10
OG0008052	1	4	1	1	1	1	1	10
OG0008053	2	3	1	1	1	1	1	10
OG0008054	2	3	1	1	1	1	1	10
OG0008055	1	4	1	1	1	1	1	10
OG0008056	1	4	1	1	1	1	1	10
OG0008057	2	3	1	1	1	1	1	10
OG0008058	2	3	1	1	1	1	1	10
OG0008059	2	3	1	1	1	1	1	10
OG0008060	2	3	1	1	1	1	1	10
OG0008061	3	3	1	1	0	1	1	10
OG0008062	2	3	1	1	1	0	2	10
OG0008063	1	3	2	1	1	1	1	10
OG0008064	2	3	1	1	1	1	1	10
OG0008065	2	4	1	1	1	0	1	10
OG0008066	2	3	1	1	1	1	1	10
OG0008067	2	3	1	1	1	1	1	10
OG0008068	1	4	1	1	1	1	1	10
OG0008069	1	3	1	1	2	1	1	10
OG0008070	2	3	1	1	1	1	1	10
OG0008071	2	3	1	1	1	1	1	10
OG0008072	2	3	1	1	1	1	1	10
OG0008073	2	3	1	1	1	0	2	10
OG0008074	2	3	1	1	1	1	1	10
OG0008075	2	3	1	1	1	1	1	10
OG0008076	2	3	1	1	1	1	1	10
OG0008077	9	1	0	0	0	0	0	10
OG0008078	1	3	1	1	2	1	1	10
OG0008079	2	3	1	1	1	1	1	10
OG0008080	1	4	1	1	1	1	1	10
OG0008081	3	2	2	1	0	1	1	10
OG0008082	2	3	1	1	1	1	1	10
OG0008083	2	3	1	1	1	1	1	10
OG0008084	1	4	1	1	1	1	1	10
OG0008085	1	4	1	1	1	1	1	10
OG0008086	2	3	1	1	1	1	1	10
OG0008087	2	1	1	1	1	2	2	10
OG0008088	2	3	1	1	1	1	1	10
OG0008089	2	3	1	1	1	1	1	10
OG0008090	1	4	1	1	1	1	1	10
OG0008091	2	3	1	1	1	1	1	10
OG0008092	2	3	1	1	1	1	1	10
OG0008093	2	3	1	1	1	1	1	10
OG0008094	2	3	1	1	1	1	1	10
OG0008095	2	2	2	1	1	1	1	10
OG0008096	1	4	1	1	1	1	1	10
OG0008097	2	3	1	1	1	1	1	10
OG0008098	2	3	1	1	1	1	1	10
OG0008099	2	4	1	1	1	1	0	10
OG0008100	2	4	1	1	1	1	0	10
OG0008101	2	3	1	1	1	1	1	10
OG0008102	3	3	1	1	0	1	1	10
OG0008103	2	3	1	1	1	1	1	10
OG0008104	2	2	1	1	1	1	2	10
OG0008105	2	3	2	1	0	1	1	10
OG0008106	1	3	1	1	1	1	2	10
OG0008107	2	4	1	1	1	1	0	10
OG0008108	1	2	1	1	1	1	3	10
OG0008109	2	2	1	1	1	2	1	10
OG0008110	1	4	1	1	1	1	1	10
OG0008111	1	4	1	1	1	1	1	10
OG0008112	1	4	1	1	1	1	1	10
OG0008113	1	4	1	1	1	1	1	10
OG0008114	4	1	1	1	1	1	1	10
OG0008115	2	3	1	1	1	1	1	10
OG0008116	2	3	1	1	1	1	1	10
OG0008117	1	3	2	1	1	1	1	10
OG0008118	2	3	1	1	1	1	1	10
OG0008119	2	3	1	1	1	1	1	10
OG0008120	2	3	1	1	1	1	1	10
OG0008121	3	3	1	1	0	1	1	10
OG0008122	1	3	1	1	2	1	1	10
OG0008123	3	2	1	1	1	1	1	10
OG0008124	2	2	1	1	1	1	2	10
OG0008125	5	2	1	1	1	0	0	10
OG0008126	2	3	1	1	1	1	1	10
OG0008127	2	3	1	1	1	1	1	10
OG0008128	2	3	1	1	1	1	1	10
OG0008129	2	3	1	1	1	1	1	10
OG0008130	2	3	1	1	1	1	1	10
OG0008131	2	3	1	1	1	1	1	10
OG0008132	2	3	1	1	1	1	1	10
OG0008133	3	2	1	1	1	1	1	10
OG0008134	2	3	1	1	1	1	1	10
OG0008135	2	3	1	1	1	1	1	10
OG0008136	5	3	1	0	0	0	1	10
OG0008137	2	3	1	1	1	1	1	10
OG0008138	2	3	1	1	1	1	1	10
OG0008139	3	2	1	1	1	1	1	10
OG0008140	2	3	1	1	1	1	1	10
OG0008141	2	3	1	1	1	1	1	10
OG0008142	2	2	1	1	1	1	2	10
OG0008143	3	2	1	1	1	1	1	10
OG0008144	2	3	1	1	1	1	1	10
OG0008145	1	4	1	1	1	1	1	10
OG0008146	2	3	1	1	1	1	1	10
OG0008147	2	3	1	1	1	1	1	10
OG0008148	2	3	1	1	1	1	1	10
OG0008149	2	3	1	1	1	1	1	10
OG0008150	2	3	1	1	1	1	1	10
OG0008151	2	3	1	1	1	1	1	10
OG0008152	2	2	1	1	2	1	1	10
OG0008153	1	4	2	1	1	1	0	10
OG0008154	2	4	1	1	1	0	1	10
OG0008155	2	3	1	1	1	1	1	10
OG0008156	2	3	1	1	1	1	1	10
OG0008157	2	3	1	1	1	1	1	10
OG0008158	2	4	1	1	1	1	0	10
OG0008159	2	2	1	1	2	1	1	10
OG0008160	1	4	1	1	1	1	1	10
OG0008161	2	2	2	1	1	1	1	10
OG0008162	2	3	1	1	1	1	1	10
OG0008163	2	3	1	1	1	1	1	10
OG0008164	3	2	1	1	1	1	1	10
OG0008165	2	3	1	1	1	1	1	10
OG0008166	3	2	1	1	1	1	1	10
OG0008167	1	3	1	1	1	1	2	10
OG0008168	2	3	1	1	1	1	1	10
OG0008169	2	3	1	1	1	1	1	10
OG0008170	3	2	1	1	1	1	1	10
OG0008171	2	3	1	1	1	1	1	10
OG0008172	2	3	1	1	1	1	1	10
OG0008173	3	1	1	2	1	0	2	10
OG0008174	2	3	1	1	1	1	1	10
OG0008175	2	3	1	1	1	1	1	10
OG0008176	1	1	1	2	1	1	3	10
OG0008177	2	3	1	1	1	1	1	10
OG0008178	1	4	1	1	1	1	1	10
OG0008179	3	2	1	1	1	1	1	10
OG0008180	1	4	1	1	1	1	1	10
OG0008181	3	3	1	1	1	0	1	10
OG0008182	1	4	1	1	1	1	1	10
OG0008183	2	4	1	0	1	1	1	10
OG0008184	2	3	1	1	1	1	1	10
OG0008185	2	2	2	1	1	1	1	10
OG0008186	2	3	1	1	1	1	1	10
OG0008187	2	3	1	1	1	1	1	10
OG0008188	2	2	1	1	2	1	1	10
OG0008189	2	3	1	1	1	1	1	10
OG0008190	1	4	1	1	1	1	1	10
OG0008191	2	3	1	1	1	1	1	10
OG0008192	3	2	1	1	1	1	1	10
OG0008193	2	3	1	1	1	1	1	10
OG0008194	2	2	1	2	0	2	1	10
OG0008195	2	3	1	1	1	1	1	10
OG0008196	2	3	1	1	1	1	1	10
OG0008197	2	2	1	1	3	0	1	10
OG0008198	2	3	1	1	1	1	1	10
OG0008199	1	4	1	1	1	1	1	10
OG0008200	2	3	1	1	1	1	1	10
OG0008201	2	3	1	1	1	1	1	10
OG0008202	2	3	1	1	1	1	1	10
OG0008203	2	3	1	1	1	1	1	10
OG0008204	2	4	1	1	1	0	1	10
OG0008205	1	4	1	1	1	1	1	10
OG0008206	2	3	1	1	1	1	1	10
OG0008207	2	3	1	1	1	1	1	10
OG0008208	2	3	1	1	1	1	1	10
OG0008209	1	4	1	1	1	1	1	10
OG0008210	2	4	1	1	1	1	0	10
OG0008211	2	2	2	1	1	1	1	10
OG0008212	2	3	1	1	1	1	1	10
OG0008213	2	3	1	1	1	1	1	10
OG0008214	2	3	1	1	1	1	1	10
OG0008215	2	2	1	1	1	1	2	10
OG0008216	2	3	1	1	1	1	1	10
OG0008217	3	2	2	1	1	0	1	10
OG0008218	2	3	1	1	1	1	1	10
OG0008219	2	3	1	1	1	1	1	10
OG0008220	2	3	1	1	1	1	1	10
OG0008221	2	3	1	1	1	1	1	10
OG0008222	2	3	1	1	1	1	1	10
OG0008223	2	4	1	1	1	0	1	10
OG0008224	2	3	1	1	1	1	1	10
OG0008225	3	3	1	0	1	1	1	10
OG0008226	2	3	1	1	1	1	1	10
OG0008227	2	2	1	1	1	1	2	10
OG0008228	1	4	1	1	1	1	1	10
OG0008229	1	4	1	1	1	1	1	10
OG0008230	2	3	1	1	1	1	1	10
OG0008231	2	3	1	1	1	1	1	10
OG0008232	2	3	1	1	1	1	1	10
OG0008233	2	3	1	1	1	1	1	10
OG0008234	2	3	1	1	1	1	1	10
OG0008235	3	3	1	1	1	1	0	10
OG0008236	2	3	1	1	1	1	1	10
OG0008237	2	3	1	1	1	1	1	10
OG0008238	2	3	1	1	1	1	1	10
OG0008239	2	3	1	1	1	1	1	10
OG0008240	2	4	1	1	1	0	1	10
OG0008241	1	4	1	1	1	1	1	10
OG0008242	2	3	1	1	1	1	1	10
OG0008243	3	2	1	1	1	1	1	10
OG0008244	2	3	1	1	1	1	1	10
OG0008245	2	3	1	1	1	1	1	10
OG0008246	2	3	1	1	1	1	1	10
OG0008247	2	3	1	1	1	1	1	10
OG0008248	2	3	1	1	1	1	1	10
OG0008249	2	3	1	1	1	1	1	10
OG0008250	2	3	1	1	1	1	1	10
OG0008251	3	2	1	1	1	1	1	10
OG0008252	2	4	1	1	1	1	0	10
OG0008253	2	3	1	1	1	1	1	10
OG0008254	1	3	1	1	1	1	2	10
OG0008255	2	3	1	1	1	1	1	10
OG0008256	1	4	1	1	1	1	1	10
OG0008257	2	3	1	1	1	1	1	10
OG0008258	1	4	1	1	1	1	1	10
OG0008259	2	3	1	1	1	1	1	10
OG0008260	2	3	1	1	1	1	1	10
OG0008261	1	1	1	2	1	0	4	10
OG0008262	2	3	1	1	1	1	1	10
OG0008263	2	3	1	1	1	1	1	10
OG0008264	1	4	1	1	1	1	1	10
